嗚呼,ああ,Ah!
出鱈目,でたらめ,irresponsible utterance
出直し,でなおし,adjustment
田園,でんえん,country
電源,でんげん,source of electricity
伝説,でんせつ,tradition
電線,でんせん,electric line
伝達,でんたつ,transmission 
伝来,でんらい,ancestral
と,と,1. if 
問い合わせる,といあわせる,to enquire
問屋,といや,wholesale store
問う,とう,to ask
棟,とう,place
等,とう,et cetera
陶器,とうき,pottery
等級,とうきゅう,grade
討議,とうぎ,debate
登校,とうこう,attendance 
統合,とうごう,integration
投資,とうし,investment
統治,とうじ,rule
統制,とうせい,regulation
当選,とうせん,being elected
逃走,とうそう,flight
統率,とうそつ,command
到達,とうたつ,reaching
丁々,とうとう,clashing of swords
投入,とうにゅう,throw
当人,とうにん,the one concerned
逃亡,とうぼう,escape
冬眠,とうみん,hibernation
登録,とうろく,registration
討論,とうろん,debate
遠ざかる,とおざかる,to go far off
遠回り,とおまわり,detour
通りかかる,とおりかかる,to happen to pass by
兎角,とかく,anyhow
咎める,とがめる,to blame
時折,ときおり,sometimes
跡切れる,とぎれる,to pause
説く,とく,to explain
特技,とくぎ,special skill
特産,とくさん,specialty
特集,とくしゅう,feature 
得点,とくてん,score
特派,とくは,send specially
特有,とくゆう,characteristic 
研ぐ,とぐ,to sharpen
刺,とげ,thorn
遂げる,とげる,to accomplish
床,とこ,bed
所が,ところが,however
所で,ところで,by the way
年頃,としごろ,age
年寄り,としより,old people
戸締り,とじまり,closing up
途上,とじょう,en route
綴じる,とじる,to bind
途絶える,とだえる,to stop
特許,とっきょ,special permission
疾っくに,とっくに,long ago
特権,とっけん,privilege
咄嗟,とっさ,moment
取っ手,とって,handle
突破,とっぱ,breaking through
突如,とつじょ,suddenly
迚も,とても,very
整える,ととのえる,to put in order
届け,とどけ,report
滞る,とどこおる,to stagnate
止まる,とどまる,to be limited to
留める,とどめる,to stop
止める,とどめる,to stop
唱える,となえる,to recite
兎に角,とにかく,anyhow
殿様,とのさま,feudal lord
幕,とばり,curtain
帳,とばり,curtain
扉,とびら,door
徒歩,とほ,walking
乏しい,とぼしい,meagre
富,とみ,wealth
富む,とむ,to be rich
兎も角,ともかく,anyhow
共稼ぎ,ともかせぎ,working together
灯,ともしび,light
伴う,ともなう,to accompany
共働き,ともばたらき,dual income
捕らえる,とらえる,to seize
取りあえず,とりあえず,at once
取り扱い,とりあつかい,treatment
取り扱う,とりあつかう,to treat
鳥居,とりい,torii 
取り替え,とりかえ,swap
取り組む,とりくむ,to tackle
取り締まり,とりしまり,control
取り締まる,とりしまる,to manage
取り調べる,とりしらべる,to investigate
取り立てる,とりたてる,to collect
取り次ぐ,とりつぐ,to act as an agent for
取り除く,とりのぞく,to remove
取り引き,とりひき,transactions
取り巻く,とりまく,to surround
取り混ぜる,とりまぜる,to mix
取り戻す,とりもどす,to take back
取り寄せる,とりよせる,to order
取り分,とりわけ,especially
副,とりわけ,especially
蕩ける,とろける,to be enchanted with
とんだ,とんだ,terrible
胴,どう,trunk
働,どう,work
同,どう,the same
同意,どうい,agreement
動員,どういん,mobilization
同感,どうかん,agreement
動機,どうき,motive
同級,どうきゅう,the same grade
同居,どうきょ,living together
動向,どうこう,trend
同士,どうし,fellow
同志,どうし,same mind
如何して,どうして,why?
如何しても,どうしても,by all means
同情,どうじょう,sympathy
道場,どうじょう,dojo
何卒,どうぞ,please
どうぞ宜しく,どうぞよろしく,pleased to meet you
同調,どうちょう,sympathy
動的,どうてき,dynamic
同等,どうとう,equality
堂々,どうどう,magnificent
どうにか,どうにか,in some way or other
導入,どうにゅう,introduction
同封,どうふう,enclosure 
同盟,どうめい,alliance
どうやら,どうやら,it seems like
動揺,どうよう,disturbance
動力,どうりょく,power
独裁,どくさい,dictatorship
読者,どくしゃ,reader
独自,どくじ,original
独占,どくせん,monopoly
独創,どくそう,originality
何処,どこ,where
何処か,どこか,somewhere
土産,どさん,product of the land
土台,どだい,foundation
何方,どちら,which
土手,どて,embankment
何方,どなた,who?
怒鳴る,どなる,to shout
何の,どの,which
土俵,どひょう,arena
土木,どぼく,public works
何れ,どれ,well
何々,どれどれ,which 
度忘れ,どわすれ,lapse of memory
鈍感,どんかん,thickheadedness
内閣,ないかく,cabinet
乃至,ないし,from...to
内臓,ないぞう,internal organs
内部,ないぶ,interior
内乱,ないらん,civil war
内陸,ないりく,inland
苗,なえ,rice seedling
尚,なお,furthermore
尚更,なおさら,all the more
中程,なかほど,middle
流し,ながし,sink
長々,ながなが,long
殴る,なぐる,to strike
嘆く,なげく,to sigh
投げ出す,なげだす,to throw down
和やか,なごやか,mild
名残,なごり,remains
情け,なさけ,sympathy
情け深い,なさけぶかい,tender-hearted
為さる,なさる,to do
詰る,なじる,to rebuke
何故,なぜ,why
何故なら,なぜなら,because
名高い,なだかい,famous
雪崩,なだれ,avalanche
懐く,なつく,to become emotionally attached
名付ける,なづける,to name 
何気ない,なにげない,casual
何しろ,なにしろ,at any rate
何卒,なにとぞ,please
何も,なにも,nothing
何より,なにより,most
七日,なぬか,seven days
名札,なふだ,name plate
生臭い,なまぐさい,smelling of fish or blood
生温い,なまぬるい,lukewarm
生身,なまみ,living flesh
鉛,なまり,lead 
鈍る,なまる,to become less capable
並み,なみ,average
滑らか,なめらか,smoothness
嘗める,なめる,to lick
悩ましい,なやましい,seductive
悩ます,なやます,to afflict
悩み,なやみ,trouble
平均,ならし,equilibrium
慣らす,ならす,to accustom
馴らす,ならす,to domesticate
並びに,ならびに,and
成り立つ,なりたつ,to conclude
成る丈,なるたけ,as much as possible
成るべく,なるべく,as much as possible
慣れ,なれ,practice
馴れ馴れしい,なれなれしい,over-familiar
難,なん,difficulty
南,なん,south
なんか,なんか,things like ...
何だか,なんだか,a little
なんだかんだ,なんだかんだ,something or other
何て,なんて,how...!
何と,なんと,what
何となく,なんとなく,somehow or other
何とも,なんとも,nothing 
何なり,なんなり,any
荷,に,load
似通う,にかよう,to resemble closely
面皰,にきび,pimple
賑わう,にぎわう,to prosper
悪い,にくい,hateful
憎しみ,にくしみ,hatred
肉親,にくしん,blood relationship
肉体,にくたい,the body
逃げ出す,にげだす,to run away
西日,にしび,westering sun
滲む,にじむ,to run
日夜,にちや,day and night
日当,にっとう,daily allowance
荷造り,にづくり,packing
担う,になう,to carry on shoulder
二人,ににん,two persons
にも拘らず,にもかかわらず,in spite of
入手,にゅうしゅ,obtaining
入賞,にゅうしょう,winning a prize or place 
入浴,にゅうよく,bathe
尿,にょう,urine
俄か,にわか,sudden
認識,にんしき,recognition
妊娠,にんしん,conception
人情,にんじょう,humanity
任務,にんむ,duty
任命,にんめい,appointment
抜かす,ぬかす,to omit
抜け出す,ぬけだす,to slip out
盗み,ぬすみ,stealing
沼,ぬま,swamp
音,ね,sound
値打ち,ねうち,value
寝かせる,ねかせる,to put to bed
捻子,ねじ,screw
ねじ回し,ねじまわし,screwdriver
捻じれる,ねじれる,to twist
鼠,ねず,1. mouse
妬む,ねたむ,to be jealous
強請る,ねだる,to tease
熱湯,ねっとう,boiling water
熱意,ねつい,zeal
熱量,ねつりょう,temperature
粘り,ねばり,stickyness
粘る,ねばる,to be sticky
値引き,ねびき,price reduction
根回し,ねまわし,making necessary arrangements
眠たい,ねむたい,sleepy
練る,ねる,to knead
念,ねん,sense
年鑑,ねんかん,yearbook
年号,ねんごう,name of an era
燃焼,ねんしょう,burning
年生,ねんせい,pupil in .... year
年長,ねんちょう,seniority
燃料,ねんりょう,fuel
年輪,ねんりん,annual tree ring
脳,のう,brain
農耕,のうこう,farming
農場,のうじょう,farm 
農地,のうち,agricultural land
納入,のうにゅう,payment
逃す,のがす,to let loose
逃れる,のがれる,to escape
軒並み,のきなみ,row of houses
鋸,のこぎり,saw
望ましい,のぞましい,desirable
臨む,のぞむ,to look out on
乗っ取る,のっとる,to capture
長閑,のどか,tranquil
罵る,ののしる,to speak ill of
延べ,のべ,futures
飲み込む,のみこむ,to gulp down
乗り換え,のりかえ,transfer 
乗り込む,のりこむ,to board
刃,は,edge 
派,は,clique
把握,はあく,grasp
肺,はい,lung
廃棄,はいき,annullment
配給,はいきゅう,distribution 
配偶者,はいぐうしゃ,spouse
拝啓,はいけい,Dear 
背景,はいけい,background
背後,はいご,back
灰皿,はいさら,ashtray
廃止,はいし,abolition
拝借,はいしゃく,borrowing
排除,はいじょ,exclusion
排水,はいすい,drainage
敗戦,はいせん,defeat
配置,はいち,arrangement 
配布,はいふ,distribution
配分,はいぶん,distribution
配慮,はいりょ,consideration
配列,はいれつ,arrangement
映える,はえる,to shine
破壊,はかい,destruction
墓地,はかち,cemetery
捗る,はかどる,to make progress
果ない,はかない,fleeting
諮る,はかる,to consult with
図る,はかる,to plot
剥がす,はがす,to tear off
破棄,はき,revocation
泊,はく,counter for nights of a stay
迫害,はくがい,persecution
薄弱,はくじゃく,feebleness
白状,はくじょう,confession
剥ぐ,はぐ,to tear off
派遣,はけん,dispatch
励ます,はげます,to encourage
励む,はげむ,to be zealous
剥げる,はげる,to come off
鋏,はさみ,scissors
柱,はしら,pillar
橋渡し,はしわたし,bridge building
恥,はじ,shame
弾く,はじく,to flip
始め,はじめ,beginning
始めまして,はじめまして,How do you do?
恥じらう,はじらう,to feel shy
恥じる,はじる,to feel ashamed
蓮,はす,lotus
筈,はず,it should be so
弾む,はずむ,to spring
破損,はそん,damage
機,はた,loom
果たして,はたして,as was expected
果たす,はたす,to accomplish
裸足,はだし,barefoot
蜂蜜,はちみつ,honey
発掘,はっくつ,excavation
発生,はっせい,outbreak
発足,はっそく,starting
初,はつ,first
発,はつ,departure
発芽,はつが,burgeoning
発言,はつげん,utterance
発病,はつびょう,attack 
初耳,はつみみ,something heard for the first time
果て,はて,the end
果てる,はてる,to end
話し合い,はなしあい,discussion
甚だ,はなはだ,very
華々しい,はなばなしい,brilliant
華やか,はなやか,gay
阻む,はばむ,to keep someone from doing
浜,はま,beach
浜辺,はまべ,beach
填まる,はまる,to get into
歯磨,はみがき,dentifrice
填める,はめる,to get in
生やす,はやす,to grow
早める,はやめる,to hasten
流行,はやり,fashionable
腹立ち,はらだち,anger
原っぱ,はらっぱ,open field
張り紙,はりがみ,paper patch
遥か,はるか,far
破裂,はれつ,explosion
腫れる,はれる,to swell 
班,はん,group
判,はん,seal
版,はん,edition
繁栄,はんえい,prospering
反感,はんかん,antipathy
版画,はんが,art print
反響,はんきょう,echo
判決,はんけつ,judicial decision
反撃,はんげき,counterattack
反射,はんしゃ,reflection
繁殖,はんしょく,breed
繁盛,はんじょう,prosperity
反する,はんする,to be inconsistent with
判定,はんてい,judgement
反応,はんのう,reaction
半端,はんぱ,remnant
反発,はんぱつ,repelling
反乱,はんらん,insurrection
氾濫,はんらん,overflowing
黴菌,ばいきん,bacteria
賠償,ばいしょう,reparations
倍率,ばいりつ,diameter
馬鹿馬鹿しい,ばかばかしい,stupid
馬鹿らしい,ばからしい,absurd
漠然,ばくぜん,obscure
爆弾,ばくだん,bomb
爆破,ばくは,blast
暴露,ばくろ,disclosure
化ける,ばける,to appear in disguise
伐,ばつ,strike
ばてる,ばてる,to be exhausted
発条,ばね,spring 
散蒔く,ばらまく,to disseminate
判,ばん,size 
万,ばん,many
万人,ばんじん,all people
万能,ばんのう,all-purpose
番目,ばんめ,cardinal number suffix
非,ひ,faulty-
費,ひ,cost
延いては,ひいては,not only...but also
控室,ひかえしつ,waiting room
控える,ひかえる,to draw in
悲観,ひかん,pessimism
匹,ひき,head
引き上げる,ひきあげる,to withdraw
率いる,ひきいる,to lead
引き受ける,ひきうける,to undertake
引き起こす,ひきおこす,to cause
引き下げる,ひきさげる,to pull down
引きずる,ひきずる,to seduce
引き取る,ひきとる,to take charge of
引き分け,ひきわけ,a draw 
否決,ひけつ,rejection
非行,ひこう,delinquency
日頃,ひごろ,normally
久しい,ひさしい,long
久し振り,ひさしぶり,after a long time
悲惨,ひさん,misery
比重,ひじゅう,specific gravity
密か,ひそか,secret
浸す,ひたす,to soak
一向,ひたすら,earnestly
左利き,ひだりきき,left-handedness
引っ掻く,ひっかく,to scratch
引っ掛ける,ひっかける,1. to hang 
必修,ひっしゅう,required 
匹敵,ひってき,comparing with
未,ひつじ,eighth sign of Chinese zodiac 
必然,ひつぜん,inevitable
一息,ひといき,puffy
単,ひとえ,one layer
人柄,ひとがら,personality
一頃,ひところ,once
人質,ひとじち,hostage
一筋,ひとすき,a line
一まず,ひとまず,for the present
一人でに,ひとりでに,by itself
酷い,ひどい,cruel
日取り,ひどり,fixed date
雛,ひな,young bird
日向,ひなた,sunny place
非難,ひなん,blame
避難,ひなん,taking refuge
日の丸,ひのまる,the Japanese flag
火花,ひばな,spark
日々,ひび,every day
悲鳴,ひめい,shriek
百科事典,ひゃっかじてん,encyclopedia
百科辞典,ひゃっかじてん,encyclopedia
冷やかす,ひやかす,to banter
日焼け,ひやけ,sunburn
票,ひょう,label
標語,ひょうご,motto
ひょっと,ひょっと,possibly
平たい,ひらたい,flat
比率,ひりつ,ratio
肥料,ひりょう,manure
比例,ひれい,proportion
疲労,ひろう,fatigue
広まる,ひろまる,to spread
貧困,ひんこん,poverty
品質,ひんしつ,quality
品種,ひんしゅ,brand
貧弱,ひんじゃく,poor
頻繁,ひんぱん,frequency
美,び,beauty
微笑,びしょう,smile
美術,びじゅつ,art
吃驚,びっくり,be surprised
びっしょり,びっしょり,wet through
描写,びょうしゃ,depiction
びり,びり,last on the list
微量,びりょう,minuscule amount
敏感,びんかん,sensibility
貧乏,びんぼう,poverty
歩,ふ,pawn 
不意,ふい,sudden
封,ふう,seal
封鎖,ふうさ,blockade
風習,ふうしゅう,custom
風俗,ふうぞく,1. manners
風土,ふうど,natural features
不可欠,ふかけつ,indispensable
深める,ふかめる,to deepen
不吉,ふきつ,ominous
不況,ふきょう,recession
布巾,ふきん,tea-towel
福,ふく,good fortune
復旧,ふくきゅう,restoration
複合,ふくごう,composite
福祉,ふくし,welfare
覆面,ふくめん,mask
膨れる,ふくれる,to get cross
不景気,ふけいき,business recession
老ける,ふける,to age
布告,ふこく,edict
富豪,ふごう,wealthy person
負債,ふさい,debt
相応しい,ふさわしい,appropriate
不在,ふざい,absence
不山戯る,ふざける,to romp
負傷,ふしょう,injury
不審,ふしん,incomplete understanding
不振,ふしん,dullness
不順,ふじゅん,irregularity
付属,ふぞく,attached
負担,ふたん,burden
不調,ふちょう,bad condition
復活,ふっかつ,revival 
復興,ふっこう,revival
沸騰,ふっとう,boiling
仏,ふつ,French
不図,ふと,suddenly
不当,ふとう,injustice
不動産,ふどうさん,real estate
腐敗,ふはい,decay
不評,ふひょう,bad reputation
不便,ふびん,pity
不服,ふふく,dissatisfaction
普遍,ふへん,universality
踏まえる,ふまえる,to be based on
文,ふみ,letter
不明,ふめい,unknown
扶養,ふよう,support
振り,ふり,pretence
振り出し,ふりだし,outset
不良,ふりょう,badness
浮力,ふりょく,buoyancy
震わせる,ふるわせる,to be shaking
付録,ふろく,appendix
分,ふん,minute
憤慨,ふんがい,indignation
紛失,ふんしつ,losing something
噴出,ふんしゅつ,spewing
紛争,ふんそう,dispute
ふんだん,ふんだん,plentiful
奮闘,ふんとう,hard struggle
粉末,ふんまつ,fine powder
部,ぶ,department
部下,ぶか,subordinate person
ぶかぶか,ぶかぶか,too big
侮辱,ぶじょく,insult
武装,ぶそう,arms
斑,ぶち,spots
物資,ぶっし,goods
物体,ぶったい,body
物議,ぶつぎ,public discussion 
打付ける,ぶつける,to knock
仏像,ぶつぞう,Buddhist image 
無難,ぶなん,safety
部門,ぶもん,class
ぶら下げる,ぶらさげる,to hang
ぶらぶら,ぶらぶら,dangle heavily
武力,ぶりょく,armed might
無礼,ぶれい,impolite
文化財,ぶんかざい,cultural assets
分業,ぶんぎょう,division of labor
文語,ぶんご,written language
分散,ぶんさん,dispersion
分子,ぶんし,numerator
文書,ぶんしょ,document
分担,ぶんたん,apportionment
分配,ぶんぱい,division
分母,ぶんぼ,denominator
分離,ぶんり,separation
分裂,ぶんれつ,split
兵器,へいき,arms
閉口,へいこう,shut mouth
閉鎖,へいさ,closing
兵士,へいし,soldier
平常,へいじょう,normal
平方,へいほう,square 
並列,へいれつ,arrangement
辟易,へきえき,wince
臍,へそ,navel
隔たる,へだたる,to be distant
謙る,へりくだる,to deprecate oneself and praise the listener
経る,へる,to pass
編,へん,compilation
偏,へん,side
変革,へんかく,change
返還,へんかん,return
偏見,へんけん,prejudice
返済,へんさい,repayment
変遷,へんせん,change
返答,へんとう,reply
変動,へんどう,change
弁解,べんかい,explanation
便宜,べんぎ,convenience
弁護,べんご,defense
弁償,べんしょう,next word
弁論,べんろん,discussion
ぺこぺこ,ぺこぺこ,fawn
穂,ほ,ear 
保育,ほいく,nursing
倣,ほう,imitate
法案,ほうあん,bill 
崩壊,ほうかい,collapse
法学,ほうがく,law
放棄,ほうき,abandonment
宝器,ほうき,treasured article or vessel
封建,ほうけん,feudalistic
豊作,ほうさく,abundant harvest
方策,ほうさく,plan
奉仕,ほうし,attendance
方式,ほうしき,form
放射,ほうしゃ,radiation
放射能,ほうしゃのう,radioactivity
報酬,ほうしゅう,remuneration
放出,ほうしゅつ,release
報じる,ほうじる,to inform
報ずる,ほうずる,to inform
放置,ほうち,leave as is
法廷,ほうてい,courtroom
報道,ほうどう,information
褒美,ほうび,reward
葬る,ほうむる,to bury
放り込む,ほうりこむ,to throw into
放り出す,ほうりだす,to throw out
飽和,ほうわ,saturation
保温,ほおん,retaining warmth
捕獲,ほかく,capture
保管,ほかん,charge
補給,ほきゅう,supply
補強,ほきょう,compensation
保険,ほけん,insurance
捕鯨,ほげい,whaling
誇る,ほこる,to boast of
綻びる,ほころびる,to come apart at the seams
保護,ほご,care
乾,ほし,dried
干し物,ほしもの,dried washing 
保守,ほしゅ,conservative
保障,ほしょう,guarantee
補償,ほしょう,compensation
補充,ほじゅう,supplementation
補助,ほじょ,assistance
舗装,ほそう,pavement
補足,ほそく,supplement
発作,ほっさ,fit
ほっと,ほっと,feel relieved
頬っぺた,ほっぺた,cheek
殆ど,ほとんど,mostly
解く,ほどく,to unfasten
施す,ほどこす,to donate
保母,ほぼ,day care worker in a kindergarten nursery school etc.
保養,ほよう,health preservation
捕吏,ほり,constable
捕虜,ほりょ,prisoner 
滅びる,ほろびる,to be ruined
滅ぼす,ほろぼす,to destroy
本格,ほんかく,propriety
本館,ほんかん,main building
本気,ほんき,seriousness
本質,ほんしつ,essence
本体,ほんたい,substance
本音,ほんね,real intention
本の,ほんの,mere
本能,ほんのう,instinct
本場,ほんば,home
本文,ほんぶん,text 
本名,ほんみょう,real name
卯,ぼう,fourth sign of Chinese zodiac 
防衛,ぼうえい,defense
防火,ぼうか,fire prevention
妨害,ぼうがい,disturbance
紡績,ぼうせき,spinning
呆然,ぼうぜん,dumbfounded
膨脹,ぼうちょう,expansion
冒頭,ぼうとう,beginning
暴動,ぼうどう,insurrection
暴風,ぼうふう,storm
暴力,ぼうりょく,violence
募金,ぼきん,fund-raising
牧師,ぼくし,pastor
母校,ぼこう,alma mater
没収,ぼっしゅう,forfeited
坊ちゃん,ぼっちゃん,son 
ぼつぼつ,ぼつぼつ,gradually
没落,ぼつらく,ruin
ぼやく,ぼやく,to grumble
ぼやける,ぼやける,to become dim
藍褸,ぼろ,rag
枚,まい,counter for flat objects 
埋蔵,まいぞう,buried property
舞う,まう,to dance
真上,まうえ,just above
前売り,まえうり,advance sale
前置き,まえおき,preface
前もって,まえもって,in advance
任す,まかす,to entrust
負かす,まかす,to defeat
賄う,まかなう,to give board to
曲がる,まがる,to turn
巻,まき,volume
紛らわしい,まぎらわしい,confusing
紛れる,まぎれる,to be diverted
膜,まく,membrane
捲る,まくる,verb suffix to indicate reckless abandon to the activity
真心,まこころ,sincerity
誠,まこと,truth
真に,まことに,truly
まごつく,まごつく,to be confused
正しく,まさしく,surely
正に,まさに,correctly
勝る,まさる,to excel
増し,まし,extra
真下,ました,right under
況して,まして,still more
交える,まじえる,to mix
交わる,まじわる,to cross
麻酔,ますい,anaesthesia
益々,ますます,increasingly
不味い,まずい,unappetising
股,また,groin
跨がる,またがる,to extend over or into
跨ぐ,またぐ,to straddle
瞬き,またたき,wink
待ち合わせ,まちあわせ,appointment
間違う,まちがう,to make a mistake
待ち遠しい,まちどおしい,looking forward to
待ち望む,まちのぞむ,to look anxiously for
区々,まちまち,1. several
末期,まっき,closing years 
真っ二つ,まっぷたつ,in two equal parts
的,まと,mark
纏まり,まとまり,conclusion
纏め,まとめ,settlement
免れる,まぬかれる,to escape from
招き,まねき,invitation
麻痺,まひ,paralysis
眩しい,まぶしい,dazzling
目蓋,まぶた,eyelid
間々,まま,occasionally
間もなく,まもなく,soon
眉,まゆ,eyebrow
鞠,まり,ball
丸ごと,まるごと,in its entirety
丸っきり,まるっきり,completely
丸で,まるで,quite
丸々,まるまる,completely
丸める,まるめる,to make round
満月,まんげつ,full moon
満場,まんじょう,unanimous
真ん中,まんなか,middle
真ん前,まんまえ,right in front
真ん丸い,まんまるい,perfectly circular
見合い,みあい,formal marriage interview
見合わせる,みあわせる,to exchange glances
見落とす,みおとす,to overlook
未開,みかい,savage land
味覚,みかく,taste
見掛ける,みかける,to 
三日月,みかずき,new moon
見方,みかた,viewpoint
見苦しい,みぐるしい,unsightly
見込み,みこみ,hope
未婚,みこん,unmarried
惨め,みじめ,miserable
未熟,みじゅく,inexperience
微塵,みじん,particle
見すぼらしい,みすぼらしい,shabby
見せびらかす,みせびらかす,to show off
見せ物,みせもの,show
満たす,みたす,to satisfy
乱す,みだす,to throw out of order
乱れる,みだれる,to get confused
未知,みち,not yet known
導く,みちびく,to be guided
身近,みぢか,near oneself
密集,みっしゅう,crowd
密接,みっせつ,related
見っともない,みっともない,shameful
蜜,みつ,nectar
密度,みつど,density
見積り,みつもり,estimation
未定,みてい,not yet fixed
見通し,みとおし,perspective
源,みなもと,source
身なり,みなり,personal appearance
峰,みね,peak
見逃す,みのがす,to miss
見晴らし,みはらし,view
身振り,みぶり,gesture
見舞,みまい,enquiry
脈,みゃく,pulse
未練,みれん,lingering affection
見渡す,みわたす,to look out over
民主,みんしゅ,democratic
民宿,みんしゅく,private home providing lodging for travelers
民族,みんぞく,people
民俗,みんぞく,people
無意味,むいみ,nonsense
向き,むき,direction
無口,むくち,reticence
向け,むけ,for ~
婿,むこ,son-in-law
無効,むこう,invalid
無言,むごん,silence
毟る,むしる,to pluck
無邪気,むじゃき,innocence
結び,むすび,ending
結び付き,むすびつき,connection
結び付く,むすびつく,to be connected or related
結び付ける,むすびつける,to combine
無線,むせん,wireless
無駄遣い,むだづかい,waste money on
無断,むだん,without permission
無知,むち,ignorance
無茶,むちゃ,absurd
無茶苦茶,むちゃくちゃ,confused
空しい,むなしい,vacant
無念,むねん,chagrin
無能,むのう,inefficiency
無闇に,むやみに,unreasonably
無用,むよう,useless
群がる,むらがる,to swarm
無論,むろん,of course
名産,めいさん,noted product
名称,めいしょう,name
命中,めいちゅう,a hit
名簿,めいぼ,register of names
名誉,めいよ,honor
明瞭,めいりょう,clarity
明朗,めいろう,bright
目方,めかた,weight
恵み,めぐみ,blessing
恵む,めぐむ,to bless
目覚しい,めざましい,brilliant
目覚める,めざめる,to wake up
召す,めす,to call
雌,めす,female 
滅茶苦茶,めちゃくちゃ,absurd
目付き,めつき,look
滅亡,めつぼう,downfall
愛でたい,めでたい,auspicious
目眩,めまい,dizziness
目盛,めもり,scale
面会,めんかい,interview
免除,めんじょ,exemption
面する,めんする,to face on
面目,めんぼく,face
設ける,もうける,to create
申し入れる,もうしいれる,to propose
申し込み,もうしこみ,application
申出,もうしで,proposal
申し出る,もうしでる,to report to
申し分,もうしぶん,objection
盲点,もうてん,blind spot
猛烈,もうれつ,violent
藻掻く,もがく,to struggle
目録,もくろく,catalogue
目論見,もくろみ,a plan
模型,もけい,model
模索,もさく,groping 
若し,もし,if
若しかしたら,もしかしたら,perhaps
若しかして,もしかして,perhaps
若しかすると,もしかすると,perhaps
若しくは,もしくは,or
若しも,もしも,if
齎らす,もたらす,to bring
凭れる,もたれる,to lean against
持ち,もち,1. hold
持ち切り,もちきり,hot topic
物体ない,もったいない,too good
以て,もって,with
専ら,もっぱら,wholly
持て成す,もてなす,to entertain
持てる,もてる,to be well liked
基,もとい,basis
物置き,ものおき,storeroom
物好き,ものずき,curiosity
物足りない,ものたりない,unsatisfied
最早,もはや,already
模範,もはん,exemplar
模倣,もほう,imitation
揉める,もめる,to disagree
腿,もも,thigh
催す,もよおす,to hold 
漏らす,もらす,to let leak
盛り上がる,もりあがる,to rouse
漏る,もる,to leak
漏れる,もれる,to leak out
脆い,もろい,brittle
もろに,もろに,completely
問,もん,problem
矢,や,arrow
哉,や,question mark
喧しい,やかましい,noisy
野外,やがい,fields
軈て,やがて,before long
夜行,やぎょう,walking around at night
役職,やくしょく,post
役立つ,やくだつ,to be useful
役場,やくば,town hall
夜具,やぐ,bedding
優,やさ,gentle
屋敷,やしき,mansion
養う,やしなう,to rear
社,やしろ,Shinto shrine
野心,やしん,ambition
易い,やすい,easy
安っぽい,やすっぽい,cheap-looking
休める,やすめる,to rest
野生,やせい,wild
矢鱈に,やたらに,randomly
夜中,やちゅう,all night
奴,やっこ,servant
やっ付ける,やっつける,to beat
矢っ張り,やっぱり,also
野党,やとう,opposition party
病,やまい,illness
闇,やみ,darkness
病む,やむ,to fall ill
止むを得ない,やむをえない,cannot be helped
稍,やや,a little
ややこしい,ややこしい,puzzling
遣り通す,やりとおす,to carry through
やり遂げる,やりとげる,to accomplish
遣る,やる,to do
和らげる,やわらげる,to soften
優位,ゆうい,predominance
憂鬱,ゆううつ,depression
有益,ゆうえき,beneficial
優越,ゆうえつ,supremacy
勇敢,ゆうかん,bravery
有機,ゆうき,organic
夕暮れ,ゆうぐれ,evening
融資,ゆうし,financing
有する,ゆうする,to own
融通,ゆうずう,lending 
優勢,ゆうせい,superiority
優先,ゆうせん,preference
誘導,ゆうどう,guidance
優美,ゆうび,grace
有望,ゆうぼう,good prospects
遊牧,ゆうぼく,nomadism
夕焼け,ゆうやけ,sunset
有力,ゆうりょく,1. influence
幽霊,ゆうれい,ghost
誘惑,ゆうわく,temptation
揺さぶる,ゆさぶる,to shake
茹でる,ゆでる,to boil
ゆとり,ゆとり,reserve
指差す,ゆびさす,to point at
弓,ゆみ,bow 
揺らぐ,ゆらぐ,to swing
緩む,ゆるむ,to become loose
緩める,ゆるめる,to loosen
緩やか,ゆるやか,lenient
世,よ,world
好い,よい,good
要因,よういん,primary factor
溶液,ようえき,solution 
用件,ようけん,business
養護,ようご,protection
用紙,ようし,blank form
様式,ようしき,style
要する,ようする,to demand
要請,ようせい,claim
養成,ようせい,training
様相,ようそう,aspect
用品,ようひん,articles
洋風,ようふう,western style
用法,ようほう,directions
要望,ようぼう,demand for
余暇,よか,leisure
予感,よかん,presentiment
余興,よきょう,side show
預金,よきん,deposit
抑圧,よくあつ,check
浴室,よくしつ,bathroom
抑制,よくせい,suppression
欲深い,よくふかい,greedy
欲望,よくぼう,desire
寄こす,よこす,to send
横綱,よこづな,sumo grand champion
葦,よし,reed
善し悪し,よしあし,good or bad
予想,よそう,expectation
余所見,よそみ,looking away
余地,よち,place
依って,よって,therefore
余程,よっぽど,very
与党,よとう,government party
呼び止める,よびとめる,to challenge
夜更かし,よふかし,staying up late
夜更け,よふけ,late at night
読み上げる,よみあげる,to read out loud 
寄り掛かる,よりかかる,to lean against
宜しく,よろしく,well
弱まる,よわまる,to abate
弱める,よわめる,to weaken
弱る,よわる,to weaken
来場,らいじょう,attendance
酪農,らくのう,dairy 
落下,らっか,fall
楽観,らっかん,optimism
濫用,らんよう,abuse
理屈,りくつ,theory
利根,りこん,intelligence
利子,りし,interest 
利潤,りじゅん,profit
理性,りせい,reason
利息,りそく,interest 
